"","bgroup10","urban","fams","fpov","fnopov","fpovkids","fnopovkids","prop_f_pov"
"1","361090001001",1,136,0,136,0,45,0
"2","361090002001",1,15,0,15,0,0,0
"3","361090002002",1,19,0,19,0,0,0
"4","361090002003",1,18,0,18,0,5,0
"5","361090003001",1,33,2,31,0,0,0.0606060606060606
"6","361090004001",1,103,10,93,5,60,0.145631067961165
"7","361090005001",1,424,54,370,54,183,0.254716981132075
"8","361090005002",1,236,36,200,27,99,0.266949152542373
"9","361090005003",1,433,0,433,0,203,0
"10","361090006001",1,380,0,380,0,184,0
"11","361090006002",1,210,14,196,14,67,0.133333333333333
"12","361090006003",1,36,0,36,0,9,0
"13","361090006004",1,306,9,297,0,117,0.0294117647058824
"14","361090007001",1,75,14,61,7,44,0.28
"15","361090007002",1,337,23,314,23,178,0.136498516320475
"16","361090007003",1,153,0,153,0,74,0
"17","361090008001",1,253,95,158,85,76,0.711462450592885
"18","361090008002",1,223,75,148,56,78,0.587443946188341
"19","361090009001",0,394,122,272,88,92,0.532994923857868
"20","361090009002",0,325,11,314,11,205,0.0676923076923077
"21","361090009003",1,207,44,163,7,85,0.246376811594203
"22","361090010001",0,388,152,236,152,114,0.783505154639175
"23","361090010002",1,153,29,124,29,52,0.379084967320261
"24","361090010003",1,129,0,129,0,40,0
"25","361090011001",1,253,15,238,0,85,0.0592885375494071
"26","361090011002",1,148,0,148,0,0,0
"27","361090011003",1,518,54,464,34,205,0.16988416988417
"28","361090012001",1,21,0,21,0,0,0
"29","361090013001",0,513,12,501,0,208,0.0233918128654971
"30","361090013002",1,205,13,192,13,155,0.126829268292683
"31","361090013003",1,161,16,145,0,56,0.0993788819875776
"32","361090013004",1,126,0,126,0,27,0
"33","361090013005",1,139,24,115,0,41,0.172661870503597
"34","361090014001",0,234,0,234,0,87,0
"35","361090014002",0,326,8,318,8,110,0.049079754601227
"36","361090014003",0,396,0,396,0,151,0
"37","361090015001",0,430,76,354,76,117,0.353488372093023
"38","361090015002",1,486,9,477,0,281,0.0185185185185185
"39","361090015003",0,772,48,724,48,366,0.124352331606218
"40","361090016001",0,286,0,286,0,98,0
"41","361090016002",0,350,52,298,49,86,0.288571428571429
"42","361090016003",0,446,116,330,116,186,0.520179372197309
"43","361090017001",0,539,109,430,97,162,0.382189239332096
"44","361090017002",0,431,0,431,0,129,0
"45","361090017003",0,336,32,304,32,184,0.19047619047619
"46","361090018001",0,472,55,417,45,215,0.211864406779661
"47","361090018002",0,423,38,385,38,126,0.179669030732861
"48","361090018003",0,278,21,257,21,148,0.151079136690647
"49","361090019001",0,283,19,264,19,57,0.134275618374558
"50","361090019002",0,447,0,447,0,143,0
"51","361090019003",0,631,49,582,0,217,0.0776545166402536
"52","361090019004",0,491,26,465,15,189,0.0835030549898167
"53","361090020001",1,388,46,342,40,164,0.221649484536082
"54","361090020002",0,284,10,274,10,92,0.0704225352112676
"55","361090020003",0,379,27,352,0,142,0.0712401055408971
"56","361090021001",0,392,19,373,19,203,0.0969387755102041
"57","361090021002",0,335,22,313,7,136,0.0865671641791045
"58","361090021003",0,495,69,426,69,165,0.278787878787879
"59","361090022001",0,494,36,458,36,172,0.145748987854251
"60","361090022002",0,292,31,261,24,98,0.188356164383562
"61","361090022003",0,441,14,427,10,188,0.054421768707483
"62","361090023001",0,632,104,528,104,186,0.329113924050633
"63","361090023002",0,596,0,596,0,214,0
"64","361090023003",0,326,0,326,0,110,0
